Sentiment	SentimentText
1	first think another Disney movie, might good, it's kids movie. watch it, can't help enjoy it. ages love movie. first saw movie 10 8 years later still love it! Danny Glover superb could play part better. Christopher Lloyd hilarious perfect part. Tony Danza believable Mel Clark. can't help, enjoy movie! give 10/10!
0	Put aside Dr. House repeat missed, Desperate Housewives (new) watch one. don't know exactly plagued movie. never thought I'd say this, want 15 minutes fame back.Script, Direction, can't say. recognized stable actors (the usual suspects), thought Herbert Marshall class addition sat good cheesy flick. Boy, wrong. Dullsville.My favorite parts: office girl makes 029 keypunch puts cards 087 sorter. LOL @ the computer. I'd like someone identify next device - 477 ? It's even dinosaur's time.And dinosaurs don't much time waste.
1	big fan Stephen King's work, film made even greater fan King. Pet Sematary Creed family. moved new house, seem happy. pet cemetery behind house. Creed's new neighbor Jud (played Fred Gwyne) explains burial ground behind pet cemetery. burial ground pure evil. Jud tells Louis Creed bury human (or kind pet) burial ground, would come back life. problem, come back, person, they're evil. Soon Jud explains everything Pet Sematary, everything starts go hell. wont explain anymore don't want give away main parts film. acting Pet Sematary pretty good, needed little bit work. story one main parts movie, mainly original gripping. film features lots make-up effects make movie way eerie, frightening. One basic reasons movie sent chills back, fact make-up effects. one character film truly freaky. character Zelda. particular character pops film three times precise. Zelda Rachel Creed's sister passed away years before, Rachel still haunted her. first time Zelda appears movie isn't generally scary isn't talking anything, second time worst, honest, second time scares living **** me. absolutely nothing wrong movie, almost perfect. Pet Sematary delivers great scares, pretty good acting, first rate plot, mesmerizing make-up. truly one favorite horror films time. 10 10.
0	watched horrid thing TV. Needless say one movies watch see much worse get. Frankly, don't know much lower bar go. The characters composed one lame stereo-type another, obvious attempt creating another Bad News Bears embarrassing say least.I seen prized turkeys time, reason list since Numero Uno.Let put way, watched Vanilla Ice movie, bad funny. This...this...is even good.
1	truly enjoyed film. acting terrific plot. Jeff Combs talent recognized for. part flick would change ending. death creature far gruesome Sci Fi Channel.There interesting religious messages film. Jeff Combs obviously played Messiah figure creature (or shark prefer) represented anti-Chirst. particularly frightening scenes 'end world feel'. noticed third viewing classic creature feature. know many people won't get references Christianity, watch close you'll get it.
1	memory The Last Hunt stuck since saw 1956 13. movie far ahead others time addressed treatment natives, environment, ever present contrast short long term effects greed. relevant today 1956, cinemagraphic discussion utmost depth relevance. top setting beautiful cinematography excellent. memory movie end days.
0	Shakespeare fan, appreciate Ken Branagh done bring Shakespeare back new generation viewers. However, movie falls short conveying overall intentions play ridiculous musical sequences. Add Alicia Silverstone's stumbling dialogue (reminiscent Keanu Reeves Much Ado Nothing) poorly cast roles, equals excruciating endurance viewing.
1	privilege watching Scarface big screen beautifully restored 35mm print honor 20th anniversary films release. great see big screen much lost television sets overall largesse project cannot emphasized enough. Scarface remake classic rags riches depths hell story featuring Al Pacino Cuban drug lord Tony Montana. version, Tony comes America Cuban boat people immigration wave late 1970s, early 1980s. Tony cohorts quickly get green cards offing political figure Tent City brief stay Cuban restaurant; Tony launched horrific path towards total destruction. Many characters movie played skilled manner enjoyable watch forgot little film last twenty years. Robert Loggia Tony's patron, Frank Lopez wonderful. character flawed trusting, Tony quickly figures out, soft. Lopez's right hand, Omar Suarez portrayed one greatest actors, F. Murray Abraham (Amadeus.) Suarez ultimate toady anything Frank; like mind own. Tony quickly sees constantly battles Suarez, really sees minor problem get way top. character always comes back played perfectly Mel Bernstein, audaciously corrupt Miami Narcotics detective played Harris Yulin (Training Day.) Mel, without guilt extorts great sums money form sides drug industry. plays Tony Frank catches scene marks exit film Frank Mel. priceless hear Frank asking Mel intercede, Tony kill hear Mel reply, `It's tree Frank, you're sitting it.' man Frank paying protection!Tony's rise meteoric matched speed intensity quick crash burn. offing Frank taking wife business Tony's greed takes never seem get enough. Tony plunges deeper world drugs, greed inability trust eventually kills best friend sister fallen love married. sets ending Tony's compound stormed army supplier feels betrayed Tony would go political assassination ordered. stems form compassionate moment Tony refused accomplice murder would involved victim's wife children.All great depiction 1980s excess cocaine culture. DePalma nice job holding together one fastest moving three hour movies around. violence extremely graphic contains scenes forever etched viewers mind, particularly gruesome chainsaw seen, two point blank shots head entire bloody melee ends movie. highly recommended stylistically done film squeamish, need upbeat endings potential sequels; DePalma let fly right here.
1	real classic. shipload sailors trying get towns daughters fathers go extremes deter sailors attempts. maidens cry aid results dispatch Rape Squad. cult film waiting happen!
1	Serials short subjects originally shown theaters conjunction feature film related pulp magazine serialized fiction. Known chapter plays, extended motion pictures broken number segments called chapters episodes. chapter would screened theater one week. serial would end cliffhanger, hero heroine would find latest perilous situation could escape.The audience would return next week find hero heroine would escape battle villain again. Serials especially popular children, many children first half 20th century, typical Saturday movies included chapter least one serial, along animated cartoons, newsreels, two feature films.The golden age serials 1936-1945. one best era.Zorro seen many films, Reed Hadley (Racket Squad, Undying Brain) excellent role.The action constant, led chapter chapter ultimate end find identity evildoer.Zorro triumphs, always does.
0	strange sex comedy there`s little comedy whole lot sex , takes place back car graphic makes BASIC INSTINCT look like edition TELETUBBIES . kid , sex film face might choke , especially you`re watching grandparents .As rest RITA , SUE BOB there`s much else worth mentioning except language every single sentence seems contain F word . rather bleak hyper-realist British film made time Channel 4 main investor British movies explains made television low budget feel
0	many problems film, worst continuity; re-editing VHS college cable channel many years ago, tried figure exactly went wrong. seems happened actually constructed much longer film chopped standard theatrical viewing. much longer? fill holes plot would require three hours narrative character development - especially given fact film slow takes seriously.That's staggering; could Halperins possibly trying accomplish here? previous film, White Zombie, successful low budget attempt duplicate early Universal Studios monster films (The Mummy, Dracula, etc.), stuck pretty close zombie mythology North America would know popular magazines.Revolt Zombies, contrary, appears intended allegory politics modern war. would explain opening, change Dean Jagger's character megalomaniac, also explains zombies don't actually much film, besides stand around, look frightening, wait orders - they're allegorical soldiers, undead cannibals we've come love loathe zombie films.I equal dislike modern war politics - think film ought entertaining first, later, maybe, educational. definitely - film zombies ought zombies.Truly one bizarre films Hollywood history, one recommend, even historic value.
0	Rosie wasted lot TV time talking Tainos super influential dynamics modern day Puerto Rican. not. truth Africans Spanish knows it. kills standing screen looking like average light skin black chick ( obvious black daddy, cousins auntie)pretending truly acknowledge real essence makes modern day Puerto Ricans,but barely mentioned Africans influenced way Spanish spoken, food music. typical lost lot respect support anything else does. Also, since wants dance around African-ness need take roles associated blackness (i.e. Lackawanna Blues). find prideful Black Latina next time (thank Zoe Saldana,Gina Torres, Gina Ravera Melissa DeSousa).To Puerto Rican said African black....thank you. blacks certainly anything common you love lost. But, since probably States benefited Civil Rights movement would like refuse decent human treatment received courtesy blood ,sweat tears backs blacks share nothing with.If correct Puerto Ricans terrible image media, blacks spend time trying disrespect know media loves exploits low points behaviors minorities maintain mindless generalizations. However, evidently fed hype one somehow white superior...you not. Also, somehow feel compelled believe black culture BET...again incorrect need take vacation hood. Try visiting Atlanta, Ga., Houston, Texas, Charlotte, N.C. Trust none blacks want claim culture either.
1	Man, people got chill. movie artistic genius. Instead searching reasoning messages justify reality, can't understand work fiction? story. Entertainment, God's sake (no pun intended). seems many people trying movie critics--and they're well. I'm impressed movie Bill Paxton's job directing, I'm going contact personally tell him. Ya know, weren't trying analyze heck possibility story line, might enjoy film. friends did!
1	great movie could Soylent Green. scenes people. people act 2022. think would neat see happen year 2022 beyond. Even still know secret great movie. go rent buy movie right NOW!!
1	Wonderful family drama/comedy starring MacClaine Garr entertains warms heart every time see it. Strongly recommended ages 9 year olds grannies. Lovely period piece capturing 1962. story encompasses struggling Garr, two children Aunt Zena (MacClaine) trying make ends meet without man head household. family heads west take inheritance long forgotten relative left Garr run down, ramshackle road side cafe right late 1940's. tenacious Garr, sweet determined mom, gets whole family restoration opening cafe. wait......Aunt Zena old circus performer card tricks, magic powders jesters sense humor......she loves get kids silly sometimes dangerous games.....What happens next delightful combination Miracle Lords thrown together Cuban missile crises (with authentic TV news real event) ghost prank gets totally hand. film entertains, philosophizes, questions religiosity gives unnerving glimpse frightening scare October 1962's Cuban missile crises. end one left wonder faith, family rediscovered love. Oh, music era early 60's great!Recommend STRONGLY FEEL GOOD FILM 10 10
1	Ko tamo peva one best films ever saw. tragicomedy deep implications fate humankind shown eyes seemingly plain common people God-forsaken Serbian province start World War II. saw small movie theater Russia film limited distribution, chance come across ever since. pity excellent film almost forgotten now. searched VHS DVD copy many times, alas - could find none. would grateful fans little gem movie-making suggestion ways purchase copy.
1	quite long time life, either like film, liked film much many more. watched recently (at sleepover, funnily enough) liked done since 6 something. appreciate more, Disney classics watched recently (including Sleeping Beauty Pinnochio however spell it). I much appreciate animation, clever Disney plot turns, humour mice, emotions expressed plot. animation well done, often seems wherever characters are, watching them. animation also well portraying styles backgrounds, including town (which shown twice briefly). Disney changes original fairy tale surprisingly good way, injecting clever plot turns ,such mice making clothes key part (usually like Disney films much similar original story, overly bothered. feel made necessary changes make good Disney film. Often think Disney changed book good way films). You know story already, Cinderella girl working horrible stepmother stepsisters. goes ball help fairy godmother loses glass slipper...This film much watched people. Immediate family good enough. enjoy this, recommend watch friends (and immediate family, like. :-) ). I recommend people like Disney least little bit, people like fairy tales people like mice. Enjoy! :-)
1	Kolchak TV series really didn't fit category. Part horror, part comedy, social awareness thrown in, something think people weren't ready for. It's shame really, I've started watch shows Chiller network, (I never saw originals), realized different interesting really was. Starring Darren Mcgavin Kolchak reporter International News Service, Simon Oakland always angry boss, Tony Vincenzo, show followed exploits Chicago news reporter often not, became part story himself, searched windy city modern day creepies go bump night. underlying charm Macgavin really sets show apart. somewhat goofy guy, always wears suit, cannot help love him. jokes great, back forth skeptical editor, Oakland, downright hilarious. The stories part pretty good, acting good. 70's *great* period special effects, show suffers it, suspend disbelief, fun series ahead it's time.
1	It's rare find literary work adequately translated screen may rated film higher deserves, much. long-time student Vonnegut's works, hesitation recommending film readers, least love do. casting inspired: Nolte understated triumph, bewildered defeat, decisive judgment. Sheryl Lee luscious throughout, handling treacherous Resi tragic crescendo almost makes forget beauty. Alan Arkin delivers totally lovable, equally treacherous, Soviet spy.Do feel read Mother Night appreciate film; though, haven't read Mother Night, probably want viewing film.Notice shifts color black-and-white back again, don't miss final symbolism Campbell's noose. Watch, also, Kurt Vonnegut's cameo near end film.Bing Crosby's White Christmas never sound (I write mid-December, song getting heavy radio play, it's driving nuts).
